Code;Year;Host;Bronze;Silver;Gold;GDP;Country_y;Elevation;Temperature;Gold First;London 1908;LOF;Exponential;Fibonacci;Total;Topend;Rank Gold First;Rank London 1908;Rank LOF;Rank Exponential;Rank Fibonacci;Rank Total;Rank Topend
AUS;1994;False;1;0;0;1339141.0;Australia;330.0;21.65;0.01;1;2;1;1;1;1;22;22;22;22;22;22;22
AUS;1998;False;1;0;0;1339141.0;Australia;330.0;21.65;0.01;1;2;1;1;1;1;23;23;23;23;23;22;23
AUS;2002;False;0;0;2;1339141.0;Australia;330.0;21.65;200.0;10;10;8;6;2;12;15;17;18;17;18;21;15
AUS;2006;False;1;0;1;1339141.0;Australia;330.0;21.65;100.01;6;7;5;4;2;7;17;18;18;18;18;19;18
AUS;2010;False;0;1;2;1339141.0;Australia;330.0;21.65;201.0;13;13;10;8;3;14;14;16;18;16;17;20;15
AUS;2014;False;1;2;0;1339141.0;Australia;330.0;21.65;2.01;7;8;5;5;3;5;23;22;22;23;22;22;23
AUT;1952;False;2;4;2;37695.0;Austria;910.0;6.35;204.02;24;26;18;16;8;22;5;4;4;5;4;4;5
AUT;1956;True;4;3;4;37695.0;Austria;910.0;6.35;403.04;33;37;26;22;11;34;2;2;2;2;2;2;2
AUT;1960;False;3;2;1;37695.0;Austria;910.0;6.35;102.03;14;17;11;10;6;13;9;8;7;8;7;7;8
AUT;1964;True;3;5;4;37695.0;Austria;910.0;6.35;405.03;38;41;29;25;12;37;2;3;3;3;3;3;2
AUT;1968;False;4;4;3;37695.0;Austria;910.0;6.35;304.04;31;35;24;21;11;30;6;5;4;5;4;4;5
AUT;1972;False;2;2;1;37695.0;Austria;910.0;6.35;102.02;13;15;10;9;5;12;8;9;8;8;9;8;8
AUT;1976;False;2;2;2;37695.0;Austria;910.0;6.35;202.02;18;20;14;12;6;18;6;6;6;6;6;7;6
AUT;1980;False;2;2;3;37695.0;Austria;910.0;6.35;302.02;23;25;18;15;7;24;4;5;6;4;6;6;4
AUT;1984;False;1;0;0;37695.0;Austria;910.0;6.35;0.01;1;2;1;1;1;1;16;16;16;16;16;15;16
AUT;1988;False;2;5;3;37695.0;Austria;910.0;6.35;305.02;32;34;24;21;10;30;6;4;4;4;4;4;4
AUT;1992;False;8;7;6;37695.0;Austria;910.0;6.35;607.08;59;67;46;40;21;58;4;4;4;4;4;3;4
AUT;1994;False;4;3;2;37695.0;Austria;910.0;6.35;203.04;23;27;18;16;9;22;9;9;8;9;8;8;9
AUT;1998;False;9;5;3;37695.0;Austria;910.0;6.35;305.09;39;48;31;28;17;37;8;7;5;6;6;4;7
AUT;2002;False;10;4;3;37695.0;Austria;910.0;6.35;304.1;37;47;30;27;17;36;10;7;5;6;6;5;8
AUT;2006;False;7;7;9;37695.0;Austria;910.0;6.35;907.07;73;80;57;48;23;75;3;3;3;3;4;4;3
AUT;2010;False;6;6;4;37695.0;Austria;910.0;6.35;406.06;44;50;34;30;16;42;9;6;6;6;6;5;6
AUT;2014;False;5;8;4;37695.0;Austria;910.0;6.35;408.05;49;54;37;33;17;45;9;7;7;7;7;7;7
BEL;1998;False;1;0;0;455086.0;Belgium;181.0;9.55;0.01;1;2;1;1;1;1;23;23;23;23;23;22;23
BGR;1980;False;1;0;0;50199.0;Bulgaria;472.0;10.55;0.01;1;2;1;1;1;1;17;17;17;17;17;16;17
BGR;1998;False;0;0;1;50199.0;Bulgaria;472.0;10.55;100.0;5;5;4;3;1;6;15;17;17;17;17;22;16
BGR;2002;False;2;1;0;50199.0;Bulgaria;472.0;10.55;1.02;5;7;4;4;3;4;20;20;20;20;20;17;20
BGR;2006;False;0;1;0;50199.0;Bulgaria;472.0;10.55;1.0;3;3;2;2;1;2;22;22;23;23;23;23;23
BLR;1994;False;0;2;0;54609.0;Belarus;160.0;6.15;2.0;6;6;4;4;2;4;15;16;19;18;17;19;19
BLR;1998;False;2;0;0;54609.0;Belarus;160.0;6.15;0.02;2;4;2;2;2;2;21;21;19;20;20;18;20
BLR;2002;False;1;0;0;54609.0;Belarus;160.0;6.15;0.01;1;2;1;1;1;1;23;23;23;23;23;23;23
BLR;2006;False;0;1;0;54609.0;Belarus;160.0;6.15;1.0;3;3;2;2;1;2;22;22;23;23;23;23;23
BLR;2010;False;1;1;1;54609.0;Belarus;160.0;6.15;101.01;9;10;7;6;3;9;17;19;20;19;20;20;18
BLR;2014;False;1;0;5;54609.0;Belarus;160.0;6.15;500.01;26;27;21;16;6;31;8;14;15;13;15;18;11
CAN;1952;False;1;0;1;1552808.0;Canada;487.0;-5.35;100.01;6;7;5;4;2;7;7;8;9;8;8;9;7
CAN;1956;False;2;1;0;1552808.0;Canada;487.0;-5.35;1.02;5;7;4;4;3;4;10;10;10;10;10;9;10
CAN;1960;False;1;1;2;1552808.0;Canada;487.0;-5.35;201.01;14;15;11;9;4;15;7;8;8;8;8;8;7
CAN;1964;False;1;1;1;1552808.0;Canada;487.0;-5.35;101.01;9;10;7;6;3;9;9;9;9;9;9;10;9
CAN;1968;False;1;1;1;1552808.0;Canada;487.0;-5.35;101.01;9;10;7;6;3;9;12;13;13;13;13;13;12
CAN;1972;False;0;1;0;1552808.0;Canada;487.0;-5.35;1.0;3;3;2;2;1;2;16;16;16;16;16;15;16
CAN;1976;False;1;1;1;1552808.0;Canada;487.0;-5.35;101.01;9;10;7;6;3;9;10;10;10;10;10;10;10
CAN;1980;False;1;1;0;1552808.0;Canada;487.0;-5.35;1.01;4;5;3;3;2;3;13;13;13;13;13;12;13
CAN;1984;False;1;1;2;1552808.0;Canada;487.0;-5.35;201.01;14;15;11;9;4;15;8;8;8;8;8;9;8
CAN;1988;False;3;2;0;1552808.0;Canada;487.0;-5.35;2.03;9;12;7;7;5;7;12;11;11;11;11;10;12
CAN;1992;False;2;3;2;1552808.0;Canada;487.0;-5.35;203.02;21;23;16;14;7;20;9;9;9;9;9;9;9
CAN;1994;False;4;6;3;1552808.0;Canada;487.0;-5.35;306.04;37;41;28;25;13;34;7;6;6;6;6;6;6
CAN;1998;False;4;5;6;1552808.0;Canada;487.0;-5.35;605.04;49;53;38;32;15;50;4;4;4;4;4;5;4
CAN;2002;False;7;3;7;1552808.0;Canada;487.0;-5.35;703.07;51;58;41;34;17;55;4;4;4;4;4;5;4
CAN;2006;False;7;10;7;1552808.0;Canada;487.0;-5.35;710.07;72;79;55;48;24;69;5;4;4;4;4;3;4
CAN;2010;False;5;7;14;1552808.0;Canada;487.0;-5.35;1407.05;96;101;75;61;26;103;1;3;3;2;3;3;1
CAN;2014;False;5;10;10;1552808.0;Canada;487.0;-5.35;1010.05;85;90;65;55;25;85;3;2;3;2;2;4;3
CHE;1952;False;2;0;0;67079.0;Switzerland;135.0;5.5;0.02;2;4;2;2;2;2;11;11;11;11;11;9;11
CHE;1956;False;1;2;3;67079.0;Switzerland;135.0;5.5;302.01;22;23;17;14;6;23;4;5;6;5;6;6;5
CHE;1960;False;0;0;2;67079.0;Switzerland;135.0;5.5;200.0;10;10;8;6;2;12;8;9;9;9;9;11;9
CHE;1968;False;4;2;0;67079.0;Switzerland;135.0;5.5;2.04;10;14;8;8;6;8;13;12;11;12;12;9;13
CHE;1972;False;3;3;4;67079.0;Switzerland;135.0;5.5;403.03;32;35;25;21;10;33;3;3;4;3;4;4;3
CHE;1976;False;1;3;1;67079.0;Switzerland;135.0;5.5;103.01;15;16;11;10;5;13;7;7;8;8;8;8;8
CHE;1980;False;3;1;1;67079.0;Switzerland;135.0;5.5;101.03;11;14;9;8;5;11;10;10;9;10;10;7;10
CHE;1984;False;1;2;2;67079.0;Switzerland;135.0;5.5;202.01;17;18;13;11;5;17;7;7;7;7;7;8;7
CHE;1988;False;5;5;5;67079.0;Switzerland;135.0;5.5;505.05;45;50;35;30;15;45;3;3;3;3;3;3;3
