Russia;RUS*;13;11;9
Norway;NOR;11;5;10
Canada;CAN;10;10;5
United States;USA;9;7;12
Netherlands;NED;8;7;9
Germany;GER;8;6;5
Switzerland;SUI;6;3;2
Belarus;BLR;5;0;1
Austria;AUT;4;8;5
France;FRA;4;4;7
Poland;POL;4;1;1
China;CHN;3;4;2
South Korea;KOR;3;3;2
Sweden;SWE;2;7;6
Czech Republic;CZE;2;4;2
Slovenia;SLO;2;2;4
Japan;JPN;1;4;3
Finland;FIN;1;3;1
Great Britain;GBR;1;1;2
Ukraine;UKR;1;0;1
Slovakia;SVK;1;0;0
Italy;ITA;0;2;6
Latvia;LAT;0;2;2
Australia;AUS;0;2;1
Croatia;CRO;0;1;0
Kazakhstan;KAZ;0;0;1
