Country;1950;1955;1960;1965;1970;1975;1980;1985;1990;1995;2000;2005;2010;2015
World;2517478;2749365;3007751;3309934;3667801;4045192;4421695;4833180;5289294;5713824;6104538;6496776;6906374;7325929
Afghanistan;7752;827;8995;9935;11121;12583;13211;1163;12068;16773;19702;244;27962;32527
Albania;1263;142;1636;1896;2151;2411;2681;2967;3281;3107;3122;3082;2902;2897
Algeria;8872;983;11125;12627;1455;16709;19338;22566;25912;28904;31184;33268;36036;39667
American Samoa;19;20;20;24;27;30;32;39;47;53;58;59;56;56
Andorra;6;9;13;19;24;31;36;45;55;64;65;81;84;70
Angola;4355;4808;5271;5765;6301;7107;8212;9745;11128;13043;15059;17913;2122;25022
Anguilla (UK);5;6;6;6;6;7;7;7;8;10;11;13;14;15
Antigua and Barbuda;46;53;55;60;65;69;70;66;62;68;78;83;87;92
Argentina;1715;18929;20619;22283;23973;26067;28106;30389;3273;34995;37057;39145;41223;43417
Armenia;1354;1564;1867;2205;2518;2826;3096;3339;3545;3223;3076;3015;2963;3018
Aruba (Netherlands);38;44;54;57;59;61;60;63;62;80;91;100;102;104
Australia;8177;9213;10292;11368;12905;13893;14708;15791;17097;18125;19107;20274;22163;23969
Austria;6936;6949;7066;7299;751;7628;7597;7601;7707;7973;8051;8235;8392;8545
Azerbaijan;2896;3328;3898;458;5178;5694;6164;6674;7217;7771;8118;8563;91;9754
Bahamas;79;89;110;140;169;189;211;235;256;280;298;329;361;388
Bahrain;116;134;163;187;213;267;360;419;496;564;667;867;1261;1377
Bangladesh;37895;42122;48201;55835;65049;71247;81364;93015;105983;118428;131281;14293;151617;160996
Barbados;211;227;231;235;239;246;252;256;260;265;270;274;280;284
Belarus;7745;7804;819;8607;9039;9366;9654;9991;10232;1016;9952;9641;9492;9496
Belgium;8628;8871;9141;944;9664;9769;9856;9893;9978;10162;10268;10561;1093;11299
Belize;69;80;92;106;122;133;144;165;188;207;247;283;322;359
Benin;2255;2304;2432;2632;2908;3263;3718;4287;5001;5986;6949;8182;951;1088
Bermuda (UK);37;41;45;49;52;55;57;59;61;63;64;65;64;62
Bhutan;177;200;224;253;291;349;413;469;536;509;564;651;720;775
Bolivia;309;3365;3693;4071;4506;5009;559;6212;6856;7567;834;9125;9918;10725
Bosnia and Herzegovina;2661;2932;3215;3525;3746;3972;4145;437;4527;3879;3793;3833;3835;381
Botswana;413;470;524;596;693;822;996;1183;138;1576;1737;1864;2048;2262
Brazil;53975;62656;72494;8413;95982;108431;1222;136836;150393;162755;175786;188479;198614;207848
British Virgin Islands (UK);7;8;8;9;10;10;11;13;16;18;21;23;27;30
Brunei;48;63;82;103;130;161;193;223;257;295;331;362;393;423
Bulgaria;7251;7541;7866;8207;8495;8727;8865;896;8821;8358;8001;7683;7407;715
Burkina Faso;4284;4517;4829;5175;5625;6155;6823;7728;8811;1009;11608;13422;15632;18106
Burundi;2309;2532;2787;3079;3457;3677;4127;4774;5613;6239;6767;7934;9461;11179
Cambodia;4433;5045;5722;6467;7022;7552;6718;7743;9009;10694;12198;1332;14364;15578
Cameroon;4466;4874;5361;5988;6771;774;8932;10381;1207;1393;15928;18127;20591;23344
Canada;13737;15734;17909;19694;21439;23141;24516;25848;27662;29299;30702;32256;34126;3594
Cape Verde;178;197;202;231;270;273;286;314;341;389;439;474;490;521
Caribbean Netherlands;7;8;8;9;10;11;11;12;13;15;14;14;21;25
Cayman Islands (UK);6;7;8;8;9;12;16;19;25;32;42;49;56;60
Central African Republic;1327;1399;1504;1649;1829;2017;2274;2627;2938;3336;3726;4056;4445;49
Chad;2502;2736;3003;3311;3645;4089;4513;5093;5958;7002;8343;10068;11896;14037
Chile;6143;6862;7696;8612;9562;10421;11234;12109;13141;14194;1517;16097;17015;17948
China;544113;598574;64445;706591;808511;90558;977837;1052622;1154606;1227841;1269975;1305601;1340969;1376049
Colombia;12341;14225;1648;19144;22061;24757;27738;31012;34272;37442;40404;43286;45918;48229
Comoros;156;173;189;205;228;256;309;358;415;480;548;619;699;788
Cook Islands (NZ);15;16;18;19;21;20;18;18;18;18;18;19;20;21
Costa Rica;959;112;1333;159;1849;2097;2389;273;3096;3511;3925;4248;4545;4808
Croatia;385;403;4193;4329;4423;4501;4598;4716;4776;4617;4428;4378;4316;424
Cuba;592;6539;7141;7952;8715;9438;9835;10083;10582;10906;11117;11261;11308;1139
Curaçao (Netherlands);100;117;127;134;144;150;148;150;147;144;132;129;148;157
Cyprus;494;530;573;581;614;650;685;704;767;855;943;1033;1104;1165
Czech Republic;8903;9353;9579;9801;9811;10058;10338;10316;10324;10336;10263;10231;10507;10543
Democratic Republic of the Congo;12184;13518;15248;1737;2001;22902;26357;29986;34963;42184;48049;5609;65939;77267
Denmark;4268;444;4581;476;493;5061;5123;5113;514;5233;5338;5418;5551;5669
Djibouti;62;70;84;115;160;224;359;423;588;661;723;778;831;888
Dominica;51;55;60;65;71;72;75;74;71;71;70;71;71;73
Dominican Republic;2365;2781;3294;3879;4503;515;5809;6489;7184;7892;8563;9238;9898;10528
Timor-Leste;433;461;500;547;603;662;578;657;740;856;847;989;1057;1185
Ecuador;347;3957;4546;525;6073;6987;7976;9046;10218;11441;12629;13735;14935;16144
Egypt;20897;23656;27072;30873;34809;38624;4337;49374;56397;62435;68335;74942;82041;91508
El Salvador;22;2429;2763;3198;3669;4148;4578;4921;5252;5589;5812;5947;6038;6127
Equatorial Guinea;226;238;252;269;291;238;221;314;377;448;531;626;729;845
Eritrea;1142;1259;1408;1589;1805;207;2384;2756;3139;3164;3535;4191;469;5228
Estonia;1101;1159;1217;129;136;1422;1474;1522;1565;1433;1399;1356;1332;1313
Ethiopia;18128;19947;22151;25014;28415;32569;3524;40776;48057;57237;66444;76608;87562;99391
Falkland Islands (UK);2;2;2;2;2;2;2;2;2;2;3;3;3;3
Faroe Islands (Denmark);32;32;34;36;39;41;43;46;48;44;46;48;49;48
Federated States of Micronesia;32;38;45;52;61;63;73;86;96;108;107;106;104;104
Fiji;289;335;393;464;521;577;635;712;729;775;811;822;860;892
Finland;4008;4235;443;4565;4607;4711;4779;4902;4987;5108;5176;5246;5368;5503
France;4188;43528;45866;48952;50844;53011;54053;5538;56943;58224;59387;61242;62961;64395
French Guiana;25;28;32;39;48;56;67;86;116;137;163;203;234;269
French Polynesia;60;69;78;93;110;131;152;175;198;215;237;255;268;283
Gabon;473;483;499;533;590;650;729;830;952;1086;1232;1378;1542;1725
Georgia;3527;3839;416;4477;4707;4908;5073;5287;546;5067;4744;4475;425;4
Germany;69786;71314;7318;75991;78367;78667;7816;7757;78958;81613;81896;81247;80435;80689
Ghana;4981;568;6652;7711;8597;9831;10802;12716;14628;16761;18825;2139;24318;2741
Gibraltar (UK);20;21;22;23;25;25;27;27;27;27;27;29;31;32
